idCliente,numero,nombre,jornada,idJornadaSugerida,horaApertura,horaCierre,emailContacto,codArea1,telefono1,codArea2,telefono2,stock,fechaActualizacionStock,Formato,idFormatoLocal,REGION,COMUNA/CIUDAD,cutComuna,direccion,referencia,gmapShortUrl,gmapIframeUrl,createdAt,editedAt
5,359,Coyhaique,noche,3,09:00,22:00,,,67 - 2- 210465,,67 - 2- 210460,1000,2016-04-05,MULTIF. GONDOLA,12,,Coyhaique,11101,Francisco Bilbao N° 326,,,,,
5,360,Punta Arenas 2,noche,3,09:00,22:00,,,61 - 2- 229241,,61 - 2- 229241,1000,2016-04-05,STORE,14,,Punta Arenas,12101,Avda. Bories N° 683,,,,,
5,361,Puerto Montt 5,noche,3,09:00,21:30,,,65 - 2- 344528,,65 - 2- 344528,1000,2016-04-05,MULTIFUNCIONAL,13,,Puerto Montt,10101,Juan Soler Manfredini N° 54 L 3-4,,,,,
5,362,Viña del Mar 5,noche,3,09:00,23:00,,,32 - 2- 696214,,32 - 2- 696214,1000,2016-04-05,STORE,14,,Viña del Mar,5109,Avda. Libertad N°1217 - 1223,,,,,
5,363,Valparaíso 4,noche,3,09:00,21:30,,,32 - 2- 459068,,32 - 2- 459068,1000,2016-04-05,STORE,14,,Valparaíso,5101,Avda. Pedro Montt N° 2050,,,,,
5,365,Talca 4,noche,3,09:00,22:00,,,71 - 2- 210012,,71 - 2- 210012,1000,2016-04-05,STORE,14,,Talca,7101,Uno Sur N°1201 L-3,,,,,
5,366,Viña del Mar 6,noche,3,09:00,22:00,,,32 - 2- 465193,,32 - 2- 465193,1000,2016-04-05,STORE,14,,Viña del Mar,5109,Avda. Valparaíso N° 612 - 619,,,,,
5,367,Castro 2,noche,3,08:30,22:30,,,65 - 2- 533589,,65 - 2- 533588,1000,2016-04-05,STORE,14,,Castro,10201,Avda. San Martín N° 369,,,,,
5,369,Temuco 6,noche,3,09:00,22:00,,,45 - 2- 219206,,45 - 2- 219206,1000,2016-04-05,MULTIFUNCIONAL,13,,Temuco,9101,Avda. Prieto Norte N° 320 L- 8,,,,,
5,370,Chillán 4,noche,3,08:00,23:59,,,42 - 2- 218167,,42 - 2- 218167,1000,2016-04-05,STORE,14,,Chillán,8401,El Roble N°699,,,,,
5,371,Concepción 9,noche,3,08:30,21:00,,,41 - 2- 218353,,41 - 2- 218353,1000,2016-04-05,STORE,14,,Concepción,8101,Freire N°707,,,,,
5,372,Mall Paseo del Pacífico,noche,3,10:00,21:00,,,35 - 2- 232297,,,1000,2016-04-05,STORE,14,,San Antonio,5601,Paseo Bellamar Nº 22 LC-14,,,,,
5,373,Curicó 4,noche,3,08:30,22:00,,,75 - 2- 329732,,75 - 2- 329732,1000,2016-04-05,STORE,14,,Curicó,7301,Prat N° 500,,,,,
5,374,Temuco 7,noche,3,09:00,21:00,,,45 - 2- 237321,,45 - 2- 237321,1000,2016-04-05,STORE,14,,Temuco,9101,Manuel Montt N° 701 - 725,,,,,
5,376,Las Heras,noche,3,09:00,23:59,,,32 - 2- 229636,,32 - 2- 229636,1000,2016-04-05,STORE,14,,Valparaíso,5101,Avda. Pedro Montt N° 1898,,,,,
5,377,Temuco 8,noche,3,09:00,21:00,,,45 - 2- 210894,,45 - 2- 210894,1000,2016-04-05,STORE,14,,Temuco,9101,Manuel Rodríguez N° 911,,,,,
5,378,Reñaca,noche,3,09:00,22:00,,,32 - 2- 833912,,32 - 2- 833912,1000,2016-04-05,MULTIF. GONDOLA,12,,Reñaca (Viña del Mar),5109,Avda. Borgono N°14410,,,,,
5,379,Rancagua Inaudito,noche,3,08:30,22:00,,,72 - 2- 229566,,72 - 2- 229566,1000,2016-04-05,STORE,14,,Rancagua,6101,Paseo Indepedencia N° 548-566,,,,,
5,380,Mall Plaza Los Ángeles,noche,3,10:00,21:30,,,43 - 2- 349870,,43 - 2- 349870,1000,2016-04-05,MULTIF. GONDOLA,12,,Los Ángeles,8301,Mensoza N° 477 Local 117-120,,,,,
5,381,Viña Inaudito,noche,3,09:30,22:00,,,32 - 2- 695892,,32 - 2- 695892,1000,2016-04-05,MULTIF. GONDOLA,12,,Viña del Mar,5109,Avda. Valparaíso N° 532-536,,,,,
5,382,Libertad 2,noche,3,09:00,23:00,,,32 - 2- 691341,,32 - 2- 690977,1000,2016-04-05,STORE,14,,Viña del Mar,5109,Avda. Libertad N° 800 - 828,,,,,
5,383,Copec Iquique,noche,3,08:00,23:59,,,57 - 2- 518649,,57 - 2- 518649,1000,2016-04-05,MULTIF. GONDOLA,12,,Iquique,1101,Avda. 11 de Septiembre N°1732,,,,,
5,384,Lider Antofagasta,noche,3,09:00,22:30,,,55 - 2- 497521,,55 - 2- 497521,1000,2016-04-05,MULTIFUNCIONAL,13,,Antofagasta,2101,Centeno N°21,,,,,
5,386,Llolleo,noche,3,09:00,21:00,,,35 - 2- 286174,,35 - 2- 286174,1000,2016-04-05,MULTIF. GONDOLA,12,,San Antonio,5601,Avda. Providencia N° 102 L- 3,,,,,
5,387,Talachuano 3,noche,3,09:00,21:00,,,41- 2- 428011,,,1000,2016-04-05,STORE,14,,Talcahuano,8110,Colón N° 236,,,,,
5,388,Líder Chillán,noche,3,08:30,22:00,,,42 - 2- 279401,,42 - 2- 279401,1000,2016-04-05,MULTIFUNCIONAL,13,,Chillán,8401,Avda. Paul Harris N°1155 L- 3,,,,,
5,390,San Pedro de La Paz,noche,3,08:30,22:00,,,41 - 2- 798823,,41 - 2- 798823,1000,2016-04-05,MULTIF. GONDOLA,12,,San Pedro de la Paz,8108,Pedro Aguirre Cerda N° 1055 L- 6,,,,,
5,391,Copec Las Salinas,noche,3,09:00,22:00,,,32 - 2- 691142,,32 - 2- 691142,1000,2016-04-05,MULTIF. GONDOLA,12,,Viña del Mar,5109,Jorge Montt N° 2300,,,,,
5,392,Copec Talcahuano,noche,3,08:30,22:00,,,41 - 2- 421719,,41 - 2- 421719,1000,2016-04-05,MULTIF. GONDOLA,12,,Talcahuano,8110,Autopista Talcahuano N° 7001,,,,,
5,393,Copec San Pedro,noche,3,08:30,22:00,,,41 - 2- 281774,,41 - 2- 281774,1000,2016-04-05,MULTIF. GONDOLA,12,,San Pedro de la Paz,8108,Los Canelos N° 79,,,,,
5,394,Mall Plaza Maule,noche,3,09:00,22:00,,,71 - 2- 260831,,71 - 2- 260831,1000,2016-04-05,STORE,14,,Talca,7101,Avda.Circunvalación Oriente N°1055 L-155 y 156,,,,,
