idCliente,numero,nombre,jornada,idJornadaSugerida,horaApertura,horaCierre,emailContacto,codArea1,telefono1,codArea2,telefono2,stock,fechaActualizacionStock,Formato,idFormatoLocal,REGION,CIUDAD,cutComuna,direccion,referencia,gmapShortUrl,gmapIframeUrl,createdAt,editedAt
1,76,Valdivia Picarte,noche,3,09:45,20:45,,,63-234 00 36,,,79744,2016-02-08,Peatonales,7,DE LOS LAGOS,Valdivia,14201,Ramón Picarte N° 333,,,,,
1,77,Mall Centro Concepción,noche,3,08:45,20:45,,,41- 2- 3162184,,,65055,2016-02-08,No Peatonales,8,DEL BIO-BIO,Concepción,8101,Barros Arana N° 1068 Local 1-3,,,,,
1,78,Mall Plaza Trébol,noche,3,08:45,20:45,,,41- 2- 906773,,,63276,2016-02-08,No Peatonales,8,DEL BIO-BIO,Concepción,8101,Avda. Jorge Alessandri N° 3177,,,,,
1,80,Mall Plaza Bio Bío,noche,3,08:45,20:45,,,41- 2- 3214413,,,55172,2016-02-08,No Peatonales,8,DEL BIO-BIO,Talcahuano,8110,Los Carrera Poniente N° 311,,,,,
1,81,Ovalle,noche,3,09:00,21:00,,,53- 2- 430127,,,63887,2016-02-08,Peatonales,7,DE COQUIMBO,Ovalle,4301,Vicuña Mackenna N ° 66,,,,,
1,82,Talagante,noche,3,09:00,21:00,,,2- 4227100,,,63188,2016-02-08,Peatonales,7,METROPOLITANA,Santiago,13601,Avda. Bernardo Ohiggins N° 1019,,,,,
1,83,Osorno,noche,3,09:00,21:00,,,64- 2- 540176,,,67783,2016-02-08,Peatonales,7,DE LOS LAGOS,Osorno,10301,Eleuterio Ramírez N° 1027,,,,,
1,84,La Serena Cordovez,noche,3,09:00,22:00,,,2- 24227100,,,68789,2016-02-08,Peatonales,7,DE COQUIMBO,La Serena,4101,Calle Cordovez N° 529 AL 533 Local 1,,,,,
1,85,Mall Plaza Copiapó,noche,3,10:00,21:30,,,2- 42271100,,,60300,2016-02-08,No Peatonales,8,DE ATACAMA,Copiapó,3101,"Maipú N° 110 Local 1152,1156,1160 y 1164",,,,,
1,86,Buin,noche,3,08:45,20:45,,,2- 4227100,,,51695,2016-02-08,Peatonales,7,METROPOLITANA,Santiago,13402,Balmaceda N° 298,,,,,
1,87,Mall Arauco Quilicura,noche,3,10:00,21:00,,,2- 8307922,,,63807,2016-02-08,No Peatonales,8,METROPOLITANA,Santiago,13125,Avda. O'Higgins N° 581 Local 27,,,,,
1,88,Punta Arenas,noche,3,08:45,20:45,,,61- 2- 226714,,,75906,2016-02-08,Peatonales,7,DE MAGALLANES Y LA ANTARTICA CHILENA,Punta Arenas,12101,Carlos Bories N° 858,,,,,
1,89,Puente Alto Concha y Toro,noche,3,08:45,20:45,,,2- 8726401,,,80201,2016-02-08,Peatonales,7,METROPOLITANA,Santiago,13201,Avda. Concha y Toro N° 468,,,,,
1,90,TOME,noche,3,09:00,22:00,,,2-4227100,,,73676,2016-02-08,Peatonales,7,DEL BIO-BIO,Concepción,8111,Manuel Montt N° 1156-1158-1164,,,,,
1,91,Open Rancagua,noche,3,08:45,20:45,,,2- 4227100,,,54039,2016-02-08,No Peatonales,8,DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS,Rancagua,6101,Tte. Coronel José Bdo. Cuevas N°405 L-1050,,,,,
1,92,Mall Plaza Egaña,noche,3,10:00,21:30,,,2- 4227100,,,62676,2016-02-08,No Peatonales,8,METROPOLITANA,Santiago,13113,Avda. Larraín N° 5862 Local -S1012/S1016,,,,,
1,93,Villarrica,noche,3,08:45,21:00,,,45- 2- 2410622,,,68143,2016-02-08,Peatonales,7,DE LA ARAUCANIA,Villarrica,9120,Camilo Henríquez N°537 Local 1,,,,,
1,94,Ahumada 315,noche,3,08:45,20:45,,,2- 4227100,,,52896,2016-02-08,Peatonales,7,METROPOLITANA,Santiago,13101,Ahumada N° 315,,,,,
1,95,Copiapo Chacabuco,noche,3,08:45,20:45,,,2- 24227100,,,60049,2016-02-08,Peatonales,7,DE ATACAMA,Copiapó,3101,Chacabuco N° 273-275 Local 2,,,,,
1,96,Open Ovalle,noche,3,09:00,22:00,,,2- 58193976,,,57714,2016-02-08,Peatonales,7,DE COQUIMBO,Ovalle,4301,Prolongación Benavente N°1075 L-1150,,,,,
1,97,Calama 2,noche,3,08:45,20:45,,,2-4227100,,,65410,2016-02-08,Peatonales,7,DE ANTOFAGASTA,Calama,2201,Eleuterio Ramirez N° 2078,,,,,
1,100,Puente Alto Clavero,noche,3,09:00,21:00,,,2-2- 4227100,,,98976,2016-02-08,Peatonales,7,METROPOLITANA,Santiago,13201,Concha y Toro N° 148 al 162,,,,,
