idCliente,numero,Formato,stock,fechaStock
2,265,MG,28592,2016-04-04
2,266,MG,26056,2016-04-04
2,267,AS,28327,2016-04-04
2,269,MF,19679,2016-04-04
2,270,AS,24035,2016-04-04
2,271,AS,33822,2016-04-04
2,272,MF,22760,2016-04-04
2,273,MF,16043,2016-04-04
2,275,MG,23401,2016-04-04
2,276,AS,25953,2016-04-04
2,277,MF,13267,2016-04-04
2,278,MF,15732,2016-04-04
2,279,AS,25447,2016-04-04
2,280,AS,31052,2016-04-04
2,283,MG,23103,2016-04-04
2,284,MG,23486,2016-04-04
2,285,AS,25221,2016-04-04
2,286,MG,32100,2016-04-04
2,287,MG,28251,2016-04-04
2,290,AS,45288,2016-04-04
2,291,MG,23872,2016-04-04
2,293,MG,25201,2016-04-04
2,295,MG,25434,2016-04-04
2,296,AS,29198,2016-04-04
2,299,AS,25823,2016-04-04
2,300,MF,14795,2016-04-04
2,302,AS,51099,2016-04-04
2,303,MF,14860,2016-04-04
2,304,AS,27120,2016-04-04
2,305,AS,36326,2016-04-04
2,308,AS,26457,2016-04-04
2,310,AS,26733,2016-04-04
2,311,MG,27404,2016-04-04
2,312,MG,21542,2016-04-04
2,313,AS,33324,2016-04-04
2,315,MG,25838,2016-04-04
2,316,AS,46094,2016-04-04
2,317,MF,1217,2016-04-04
2,318,MF,16405,2016-04-04
2,319,MG,27001,2016-04-04
2,320,MG,22961,2016-04-04
2,321,AS,26014,2016-04-04
2,324,MG,23704,2016-04-04
2,325,MG,26483,2016-04-04
2,326,AS,29024,2016-04-04
2,327,MG,23918,2016-04-04
2,329,MG,24200,2016-04-04
2,330,MF,17045,2016-04-04
2,332,AS,25779,2016-04-04
2,333,AS,33616,2016-04-04
2,334,AS,23851,2016-04-04
2,336,AS,29199,2016-04-04
2,337,MF,18012,2016-04-04
2,338,MG,25466,2016-04-04
2,339,MG,23676,2016-04-04
2,340,MG,25626,2016-04-04
2,341,MF,12793,2016-04-04
2,342,MF,11991,2016-04-04
2,343,AS,31594,2016-04-04
2,344,MG,26962,2016-04-04
2,345,MG,26630,2016-04-04
2,346,MG,21582,2016-04-04
2,347,MF,16174,2016-04-04
2,348,AS,76736,2016-04-04
2,350,AS,34292,2016-04-04
2,351,MF,11174,2016-04-04
2,352,AS,27756,2016-04-04
2,353,MF,13160,2016-04-04
2,356,MG,28410,2016-04-04
2,357,AS,27608,2016-04-04
2,358,MF,18844,2016-04-04
2,359,MG,23665,2016-04-04
2,362,MG,30087,2016-04-04
2,363,AS,31148,2016-04-04
2,364,AS,24361,2016-04-04
2,367,AS,34279,2016-04-04
2,368,AS,37115,2016-04-04
2,369,MG,22526,2016-04-04
2,370,MF,18601,2016-04-04
2,371,MG,33984,2016-04-04
2,372,AS,42530,2016-04-04
2,373,MG,31912,2016-04-04
2,375,MG,27053,2016-04-04
2,376,AS,40073,2016-04-04
2,377,MG,25427,2016-04-04
2,378,MG,29269,2016-04-04
2,379,MG,29568,2016-04-04
2,380,AS,26010,2016-04-04
2,381,MG,27658,2016-04-04
2,382,AS,28452,2016-04-04
2,383,MF,14693,2016-04-04
2,384,MF,17928,2016-04-04
2,385,AS,25540,2016-04-04
2,387,MF,13604,2016-04-04
2,391,AS,33447,2016-04-04
2,392,AS,26519,2016-04-04
2,393,MF,14852,2016-04-04
2,394,MF,13692,2016-04-04
2,396,AS,22966,2016-04-04
2,398,AS,27993,2016-04-04
2,400,AS,35359,2016-04-04
2,401,MG,21228,2016-04-04
2,402,AS,27302,2016-04-04
2,403,AS,37297,2016-04-04
2,405,AS,44959,2016-04-04
2,406,MG,23330,2016-04-04
2,408,MF,32988,2016-04-04
2,409,MG,20657,2016-04-04
2,410,MF,24020,2016-04-04
2,411,MG,28132,2016-04-04
2,412,AS,41984,2016-04-04
2,413,AS,38586,2016-04-04
2,415,MF,29788,2016-04-04
2,416,MF,21728,2016-04-04
2,417,MF,21320,2016-04-04
2,418,MF,30737,2016-04-04
2,420,MF,10302,2016-04-04
2,421,MF,18826,2016-04-04
2,422,AS,33343,2016-04-04
2,424,MF,17062,2016-04-04
2,425,MF,12465,2016-04-04
2,426,MF,25518,2016-04-04
2,427,MF,17404,2016-04-04
2,428,MF,12544,2016-04-04
2,431,MF,17262,2016-04-04
2,432,MG,30338,2016-04-04
2,434,MF,16550,2016-04-04
2,435,MF,13864,2016-04-04
2,437,MF,14588,2016-04-04
2,438,MF,20550,2016-04-04
2,440,MG,46356,2016-04-04
2,441,AS,32728,2016-04-04
2,442,MF,13499,2016-04-04
2,444,AS,35546,2016-04-04
2,445,MG,26187,2016-04-04
2,447,AS,39912,2016-04-04
2,448,MF,20169,2016-04-04
2,450,AS,23074,2016-04-04
2,451,AS,40179,2016-04-04
2,452,AS,43195,2016-04-04
2,453,MF,12872,2016-04-04
2,454,MF,18745,2016-04-04
2,455,AS,36492,2016-04-04
2,456,MF,15766,2016-04-04
2,457,AS,47379,2016-04-04
